,OverallQual,GrLivArea,GarageCars,YearBuilt,GarageArea,FullBath,TotalBsmtSF,ExterQual_E,BsmtQual_E,KitchenQual_E,Neighborhood_E,GarageFinish_E,OverallQual2,YearBuilt2,TotalBsmtSF2,Neighborhood_E2,GrLivArea2,SalePrice
15,7,6.75110146893676,2,1929,6.3578422665081,1,832,2.0,3.0,2.0,4.0,2.0,49,3721041,692224,16.0,45.57737104388008,132000
16,6,6.912742820493176,2,1970,6.175867270105761,1,1004,2.0,3.0,2.0,11.0,4.0,36,3880900,1008016,121.0,47.786013302279954,149000
17,4,7.167809184316444,2,1967,6.248042874508429,2,0,2.0,1.0,2.0,7.0,2.0,16,3869089,0,49.0,51.377488502771165,90000
18,5,7.016609683894219,2,2004,6.3578422665081,1,1114,2.0,3.0,3.0,13.0,2.0,25,4016016,1240996,169.0,49.232811456118135,159000
19,5,7.200424892944957,1,1958,5.68697535633982,1,1029,2.0,3.0,2.0,11.0,2.0,25,3833764,1058841,121.0,51.8461186389414,139000
20,8,7.773594467360194,3,2005,6.74993119378857,3,1158,3.0,5.0,3.0,24.0,3.0,64,4020025,1340964,576.0,60.428770942973024,325300
21,7,7.011213987350367,1,1930,5.638354669333745,1,637,2.0,3.0,3.0,2.0,2.0,49,3724900,405769,4.0,49.15712157641744,139400
22,8,7.493317248862145,2,2002,6.282266746896006,2,1777,3.0,4.0,3.0,17.0,3.0,64,4008004,3157729,289.0,56.14980339209495,230000
23,5,6.966967138613983,2,1976,6.35088571671474,1,1040,2.0,4.0,2.0,1.0,2.0,25,3904576,1081600,1.0,48.538631110527106,129900
24,5,6.966967138613983,1,1968,5.602118820879701,1,1060,2.0,3.0,3.0,7.0,2.0,25,3873024,1123600,49.0,48.538631110527106,154000
25,8,7.3783837129967145,3,2007,6.792344427470809,2,1566,3.0,4.0,3.0,24.0,3.0,64,4028049,2452356,576.0,54.44054621621518,256300
26,5,6.803505257608338,2,1951,6.3578422665081,1,900,2.0,3.0,3.0,11.0,2.0,25,3806401,810000,121.0,46.28768379030429,134800
27,8,7.4413203897176174,3,2007,6.650279048587422,2,1704,3.0,5.0,3.0,24.0,3.0,64,4028049,2903616,576.0,55.373249142427156,306000
28,5,7.3783837129967145,1,1957,5.768320995793772,1,1484,2.0,3.0,2.0,11.0,3.0,25,3829849,2202256,121.0,54.44054621621518,207500
29,4,6.255750041753367,1,1927,5.484796933490655,1,520,2.0,3.0,1.0,4.0,2.0,16,3713329,270400,16.0,39.13440858489725,68500
30,4,7.183870715062453,1,1920,5.5254529391317835,1,649,2.0,3.0,2.0,2.0,2.0,16,3686400,421201,4.0,51.60799845073191,40000
31,5,7.113956109566034,1,1966,5.605802066295998,1,1228,2.0,3.0,3.0,7.0,2.0,25,3865156,1507984,49.0,50.60837152883191,149350
32,8,7.118826249062078,2,2007,6.184148890937483,2,1234,3.0,5.0,3.0,17.0,3.0,64,4028049,1522756,289.0,50.677687164335254,179900
33,5,7.438971592395862,2,1959,6.104793232414985,1,1398,2.0,3.0,3.0,11.0,3.0,25,3837681,1954404,121.0,55.33829835247262,165500
34,9,7.3537223303996315,2,2005,6.322565239927284,2,1561,4.0,5.0,4.0,24.0,4.0,81,4020025,2436721,576.0,54.07723211261819,277500
35,8,7.8050670442584895,3,2004,6.539585955617669,3,1117,3.0,5.0,3.0,24.0,4.0,64,4016016,1247689,576.0,60.919071565369954,309000
36,5,7.001245622069476,2,1994,6.511745329644728,1,1097,2.0,4.0,2.0,17.0,2.0,25,3976036,1203409,289.0,49.017440260547005,145000
37,5,7.168579897264035,2,1954,6.212606095751519,1,1297,2.0,3.0,2.0,11.0,4.0,25,3818116,1682209,121.0,51.38853774345804,153000
38,5,6.964135612418245,1,1953,5.5093883366279774,1,1057,2.0,3.0,3.0,11.0,2.0,25,3814209,1117249,121.0,48.49918482815204,109000
39,4,7.050122520269059,0,1955,0.0,2,0,2.0,1.0,1.0,5.0,1.0,16,3822025,0,25.0,49.704227550804944,82000
40,6,7.1891677384203225,2,1965,6.089044875446846,2,1088,2.0,3.0,2.0,11.0,3.0,36,3861225,1183744,121.0,51.684132771143574,160000
41,5,7.192182058713246,1,1959,5.733341276897746,1,1350,2.0,3.0,2.0,22.0,3.0,25,3837681,1822500,484.0,51.7274827656767,170000
42,5,6.785587645007929,2,1983,6.22455842927536,1,840,2.0,4.0,3.0,13.0,3.0,25,3932289,705600,169.0,46.044199688084255,144000
43,5,6.844815479208263,1,1975,5.733341276897746,1,938,2.0,4.0,2.0,17.0,2.0,25,3900625,879844,289.0,46.851498944409045,130250
44,5,7.048386408721883,1,1959,5.707110264748875,1,1150,2.0,3.0,2.0,11.0,3.0,25,3837681,1322500,121.0,49.67975096665536,141000
45,9,7.469083884921234,2,2005,6.3578422665081,2,1752,4.0,5.0,4.0,24.0,3.0,81,4020025,3069504,576.0,55.78721407999008,319900
46,7,7.673223121121708,2,2003,6.508769136971682,1,1434,3.0,5.0,3.0,12.0,3.0,49,4012009,2056356,144.0,58.87835306651677,239686
47,8,7.4127640174265625,3,2006,6.717804695023691,2,1656,3.0,4.0,3.0,20.0,3.0,64,4024036,2742336,400.0,54.94907037805399,249700
48,4,7.2813856635702825,0,1920,0.0,2,736,2.0,3.0,2.0,6.0,1.0,16,3686400,541696,36.0,53.01857718164684,113000
49,5,6.862757913051401,1,1966,5.958424693029782,1,955,2.0,3.0,2.0,7.0,2.0,25,3865156,912025,49.0,47.09744617314962,127000
50,6,7.293697720601438,2,1997,5.963579343618446,2,794,2.0,4.0,2.0,15.0,4.0,36,3988009,630436,225.0,53.19802643950661,177000
51,6,7.0707241072602764,2,1934,6.270988431858299,1,816,2.0,3.0,2.0,4.0,2.0,36,3740356,665856,16.0,49.99513940099163,114500
52,5,6.705639094860003,2,1963,6.248042874508429,1,816,1.0,4.0,2.0,2.0,2.0,25,3853369,665856,4.0,44.96559567051488,110000
53,9,7.519149957669823,3,1981,6.796823718274855,0,1842,3.0,5.0,3.0,21.0,4.0,81,3924361,3392964,441.0,56.5376160859261,385000
54,5,7.215975002651466,2,1955,6.35088571671474,1,384,2.0,3.0,2.0,11.0,2.0,25,3822025,147456,121.0,52.07029523889082,130000
55,6,7.262628600974241,2,1964,6.3578422665081,2,1425,2.0,3.0,2.0,11.0,3.0,36,3857296,2030625,121.0,52.745774195689066,180500
56,8,7.461640392208575,2,1999,6.175867270105761,2,970,3.0,4.0,3.0,20.0,4.0,64,3996001,940900,400.0,55.676077342638536,172500
57,7,7.450660796211539,2,2004,6.338594078203183,2,860,3.0,4.0,3.0,17.0,3.0,49,4016016,739600,289.0,55.51234630020357,196500
58,10,7.988203597022576,3,2006,6.464588303689961,3,1410,4.0,5.0,3.0,23.0,4.0,100,4024036,1988100,529.0,63.81139670748442,438780
59,5,6.660575149839686,1,1972,5.8664680569332965,1,780,2.0,3.0,2.0,17.0,2.0,25,3888784,608400,289.0,44.363261326661956,124900
60,6,7.055312843339752,2,2004,6.3578422665081,1,1158,2.0,4.0,3.0,13.0,2.0,36,4016016,1340964,169.0,49.77743931739485,158000
61,5,7.013915474810528,1,1920,5.666426688112432,1,530,2.0,3.0,1.0,2.0,2.0,25,3686400,280900,4.0,49.19501028778659,101000
62,8,7.223295679562314,2,2006,6.184148890937483,2,1370,3.0,4.0,3.0,24.0,3.0,64,4024036,1876900,576.0,52.17600047438359,202500
63,7,7.444833273892193,2,1921,6.175867270105761,2,576,2.0,3.0,2.0,6.0,2.0,49,3690241,331776,36.0,55.42554247605236,140000
64,7,7.618251097876695,2,1997,6.470799503782602,2,1057,2.0,4.0,3.0,17.0,3.0,49,3988009,1117249,289.0,58.03774979029947,219500
65,8,7.813591552952433,3,2004,6.748759547491679,2,1143,3.0,5.0,3.0,24.0,3.0,64,4016016,1306449,576.0,61.052212956369615,317000
66,7,7.699842407396986,2,1970,6.3578422665081,2,1947,2.0,4.0,2.0,11.0,3.0,49,3880900,3790809,121.0,59.28757309874901,180000
67,7,7.299797366758161,2,2003,6.326149473155099,2,1453,3.0,4.0,3.0,17.0,3.0,49,4012009,2111209,289.0,53.28704159572938,226000
68,4,6.617402977974478,1,1945,5.3981627015177525,1,747,2.0,3.0,2.0,6.0,2.0,16,3783025,558009,36.0,43.79002217290549,80000
69,7,7.7354333524996886,2,1953,6.504288173536645,2,1304,3.0,3.0,2.0,19.0,4.0,49,3814209,1700416,361.0,59.83692915096457,225000
70,7,7.707062655370473,2,1973,6.248042874508429,2,2223,2.0,4.0,2.0,11.0,4.0,49,3892729,4941729,121.0,59.398814773806166,244000
71,4,6.740519359606223,2,1982,5.8888779583328805,1,845,2.0,3.0,2.0,12.0,2.0,16,3928324,714025,144.0,45.43460123722629,129500
72,7,7.449498005382849,2,1998,6.059123195581797,2,832,2.0,4.0,2.0,15.0,4.0,49,3992004,692224,225.0,55.49502053220304,185000
73,5,6.99117688712121,2,1954,6.19644412779452,1,1086,2.0,3.0,2.0,11.0,2.0,25,3818116,1179396,121.0,48.87655426701781,144900
74,3,7.381501894506707,1,1915,5.940171252720432,2,840,3.0,2.0,2.0,6.0,2.0,9,3667225,705600,36.0,54.486570218606104,107400
75,4,6.8966943316227125,1,1973,5.697093486505405,1,462,2.0,4.0,2.0,1.0,2.0,16,3892729,213444,1.0,47.56439270383685,91000
76,4,6.859614903654202,1,1956,5.648974238161206,1,952,2.0,3.0,2.0,11.0,2.0,16,3825936,906304,121.0,47.05431662643485,135750
77,5,7.1592919047975645,1,1948,5.484796933490655,1,672,2.0,3.0,2.0,4.0,2.0,25,3794704,451584,16.0,51.25546057809994,127000
78,4,7.478169694159785,0,1968,0.0,2,1768,2.0,3.0,2.0,7.0,1.0,16,3873024,3125824,49.0,55.923021974649856,136500
79,5,7.115582126184454,2,1910,6.089044875446846,1,440,2.0,3.0,2.0,6.0,2.0,25,3648100,193600,36.0,50.63150899447567,110000
80,6,7.669961995473577,1,1968,6.234410725718371,2,896,2.0,4.0,3.0,11.0,4.0,36,3873024,802816,121.0,58.828317012009016,193500
81,6,7.198931240688173,2,1998,6.0063531596017325,2,1237,2.0,5.0,2.0,12.0,4.0,36,3992004,1530169,144.0,51.82461100815616,153500
82,8,7.355001921105257,3,2007,6.63200177739563,2,1563,2.0,4.0,3.0,20.0,3.0,64,4028049,2442969,400.0,54.09605325946202,245000
83,5,6.97166860472579,2,1960,6.135564891081739,1,1065,2.0,3.0,2.0,11.0,2.0,25,3841600,1134225,121.0,48.60416313411924,126500
84,7,7.29641326877392,2,1995,5.993961427306569,2,384,2.0,4.0,2.0,15.0,4.0,49,3980025,147456,225.0,53.23764658874012,168500
85,8,7.790696031174738,2,1991,6.137727054086234,2,1288,3.0,4.0,3.0,25.0,2.0,64,3964081,1658944,625.0,60.694944650161816,260000
86,6,7.353081920515432,2,2005,5.993961427306569,2,684,3.0,4.0,3.0,15.0,4.0,36,4020025,467856,225.0,54.067813729810915,174000
87,6,7.110696122978827,2,2009,6.270988431858299,2,612,3.0,4.0,3.0,20.0,3.0,36,4036081,374544,400.0,50.561999353346124,164500
88,3,7.3310603052186325,0,1915,0.0,1,1013,1.0,3.0,1.0,2.0,1.0,9,3667225,1026169,4.0,53.74444519875231,85000
89,4,6.898714534329988,0,1994,0.0,1,990,2.0,4.0,2.0,17.0,1.0,16,3976036,980100,289.0,47.592262226175826,123600
90,4,6.947937068614969,2,1950,6.042632833682381,1,0,2.0,1.0,2.0,11.0,2.0,16,3802500,0,121.0,48.27382950943397,109900
91,5,7.119635638017636,2,1961,6.175867270105761,1,1235,2.0,3.0,2.0,11.0,2.0,25,3845521,1525225,121.0,50.689211618130784,98600
92,5,6.872128101338986,2,1921,6.07073772800249,1,876,2.0,4.0,2.0,18.0,2.0,25,3690241,767376,324.0,47.226144641212976,163500
93,6,7.73718007783463,2,1910,6.2285110035911835,2,1214,2.0,3.0,2.0,6.0,2.0,36,3648100,1473796,36.0,59.86395555684109,133900
94,6,7.488293515159428,2,1997,6.529418838262226,2,824,2.0,4.0,3.0,17.0,3.0,36,3988009,678976,289.0,56.074539769178735,204750
95,6,7.293697720601438,2,1993,6.042632833682381,2,680,4.0,4.0,2.0,15.0,4.0,36,3972049,462400,225.0,53.19802643950661,185000
96,7,7.370860166536716,2,1999,6.159095388491933,2,1588,3.0,4.0,3.0,17.0,3.0,49,3996001,2521744,289.0,54.32957959463767,214000
97,4,6.8679744089702925,1,1965,6.07073772800249,1,960,2.0,3.0,2.0,5.0,4.0,16,3861225,921600,25.0,47.16907248227084,94750
98,5,6.728628613084702,1,1920,5.905361848054571,1,458,2.0,3.0,2.0,5.0,2.0,25,3686400,209764,25.0,45.274443012822154,83000
99,4,7.111512116496157,0,1959,0.0,1,950,2.0,3.0,2.0,11.0,1.0,16,3837681,902500,121.0,50.57360458307165,128950
100,6,7.384610383176974,2,1977,6.175867270105761,2,1610,2.0,3.0,3.0,14.0,3.0,36,3908529,2592100,196.0,54.53247051132517,205000
101,6,7.457609289715606,2,1985,6.1675164908883415,2,741,3.0,4.0,3.0,13.0,4.0,36,3940225,549081,169.0,55.615936318052505,178000
102,5,7.336936913707618,2,1979,6.018593214496234,2,0,2.0,1.0,2.0,13.0,2.0,25,3916441,0,169.0,53.830643275725464,118964
103,7,7.112327444710911,3,2009,6.608000625296087,2,1226,2.0,4.0,3.0,17.0,3.0,49,4036081,1503076,289.0,50.58520168078804,198900
104,7,7.506042178518122,1,1931,5.484796933490655,1,1040,2.0,3.0,2.0,2.0,2.0,49,3728761,1081600,4.0,56.34066918569307,169500
105,8,7.597396320212795,2,2003,6.47543271670409,2,1053,3.0,5.0,3.0,20.0,3.0,64,4012009,1108809,400.0,57.72043084638292,250000
106,4,6.954638864880987,1,1885,5.6131281063880705,1,641,2.0,2.0,2.0,6.0,2.0,16,3553225,410881,36.0,48.36700174091311,100000
107,5,6.672032945461067,1,1948,5.5254529391317835,1,789,2.0,3.0,2.0,6.0,2.0,25,3794704,622521,36.0,44.516023625317885,115000
108,5,7.325148957955575,0,1919,0.0,2,793,2.0,3.0,1.0,2.0,1.0,25,3682561,628849,4.0,53.657807256237646,115000
109,6,7.520234556474628,2,1977,6.304448802421981,2,1844,2.0,4.0,2.0,14.0,3.0,36,3908529,3400336,196.0,56.553927784395135,190000
110,6,7.526178913346146,1,1954,5.786897381366708,2,994,2.0,3.0,2.0,5.0,2.0,36,3818116,988036,25.0,56.643369035696175,136900
111,7,7.266128779556451,2,2000,5.993961427306569,2,384,2.0,4.0,2.0,15.0,4.0,49,4000000,147456,225.0,52.796627441098515,180000
112,7,7.89989532313973,3,2007,6.675823221634848,2,1264,3.0,5.0,4.0,17.0,4.0,49,4028049,1597696,289.0,62.40834611656498,383970
113,6,7.723120092266331,2,1953,6.111467339502679,2,1809,2.0,4.0,3.0,18.0,2.0,36,3814209,3272481,324.0,59.646583959567906,217000
114,6,7.749753406274437,1,1945,5.198497031265826,2,1028,2.0,3.0,3.0,18.0,2.0,36,3783025,1056784,324.0,60.05867785806225,259500
115,6,7.285506548522785,2,1999,6.089044875446846,2,729,2.0,4.0,2.0,20.0,2.0,36,3996001,531441,400.0,53.078605668568386,176000
116,5,6.996681488176539,1,1962,5.666426688112432,1,1092,2.0,3.0,2.0,7.0,2.0,25,3849444,1192464,49.0,48.95355184699227,139000
117,5,7.026426808699636,2,2006,6.066108090103747,1,1125,2.0,4.0,2.0,5.0,2.0,25,4024036,1265625,25.0,49.37067369801295,155000
118,7,8.078067881815437,3,1990,6.38856140554563,3,1673,2.0,4.0,3.0,13.0,2.0,49,3960100,2798929,169.0,65.25518070321814,320000
119,6,7.284134806195205,2,2005,5.968707559985366,2,728,3.0,4.0,3.0,17.0,4.0,36,4020025,529984,289.0,53.05861987482445,163990
120,6,6.8966943316227125,2,1969,6.293419278846481,1,938,2.0,3.0,2.0,19.0,2.0,36,3876961,879844,361.0,47.56439270383685,180000
121,4,7.024649030453636,1,1939,5.579729825986222,1,732,2.0,3.0,2.0,2.0,2.0,16,3759721,535824,4.0,49.34569400105321,100000
122,6,6.985641817639208,1,1958,5.666426688112432,1,1080,2.0,3.0,2.0,11.0,2.0,36,3833764,1166400,121.0,48.799191604349616,136000
123,6,7.090076835776092,2,1993,6.274762021241939,2,1199,3.0,4.0,3.0,13.0,3.0,36,3972049,1437601,169.0,50.26918953720872,153900
124,6,7.369600720526409,2,1979,6.077642243349034,2,1362,2.0,4.0,2.0,14.0,2.0,36,3916441,1855044,196.0,54.311014779983374,181000
125,6,6.626717749249025,0,1935,0.0,1,520,2.0,3.0,2.0,2.0,1.0,36,3744225,270400,4.0,43.91338812821206,84500
126,6,6.8658910748834385,2,1976,6.089044875446846,2,1078,2.0,4.0,2.0,10.0,3.0,36,3904576,1162084,100.0,47.14046025216406,128000
127,5,6.734591659972948,0,1930,0.0,1,672,2.0,3.0,2.0,6.0,1.0,25,3724900,451584,36.0,45.35472482657719,87000
128,6,7.207118856207756,2,1966,6.118097198041348,1,660,2.0,3.0,2.0,11.0,3.0,36,3865156,435600,121.0,51.94256220750539,155000
129,5,6.960347729101308,2,1958,6.621405651764134,1,1008,2.0,3.0,4.0,11.0,3.0,25,3833764,1016064,121.0,48.446440510005736,150000
130,7,7.67693714581808,2,1966,6.1903154058531475,2,924,2.0,3.0,3.0,11.0,4.0,49,3865156,853776,121.0,58.93536394084145,226000
131,6,7.628031126930335,2,2000,5.968707559985366,2,992,3.0,4.0,3.0,15.0,3.0,36,4000000,984064,225.0,58.186858873418075,244000
132,5,7.191429330036379,2,1959,6.437751649736401,1,1063,2.0,3.0,3.0,11.0,2.0,25,3837681,1129969,121.0,51.71665580890748,150750
133,8,7.167809184316444,2,2001,6.156978985585555,2,1267,3.0,5.0,3.0,22.0,4.0,64,4004001,1605289,484.0,51.377488502771165,220000
134,5,7.451241684987676,2,1968,6.089044875446846,2,1461,2.0,3.0,2.0,7.0,3.0,25,3873024,2134521,49.0,55.521002648097976,180000
135,7,7.428333194190806,2,1970,6.274762021241939,2,1304,2.0,3.0,2.0,14.0,2.0,49,3880900,1700416,196.0,55.18013404391698,174000
136,5,7.102499355774649,1,1967,5.765191102784844,2,1214,2.0,3.0,2.0,11.0,3.0,25,3869089,1473796,121.0,50.4454970987793,143000
137,7,7.580699752224563,3,1988,6.642486801367256,3,1907,2.0,3.0,2.0,12.0,2.0,49,3952144,3636649,144.0,57.46700873337755,171000
138,8,7.52456122628536,3,1999,6.493753839851686,2,1004,3.0,4.0,3.0,17.0,4.0,64,3996001,1008016,289.0,56.619021648117034,230000
139,6,7.475905969367397,2,1997,6.154858094016418,2,928,2.0,4.0,3.0,17.0,3.0,36,3988009,861184,289.0,55.889170062823084,231500
140,4,6.762729506931879,0,1971,0.0,1,864,2.0,3.0,2.0,11.0,1.0,16,3884841,746496,121.0,45.734510383927095,115000
141,7,7.45876269238096,2,2005,6.493753839851686,2,1734,3.0,4.0,3.0,17.0,4.0,49,4020025,3006756,289.0,55.633140901254066,260000
142,5,7.234177179749849,2,1952,6.580639137284949,2,910,2.0,3.0,2.0,11.0,2.0,25,3810304,828100,121.0,52.33331946801347,166000
143,7,7.31455283232408,2,1999,6.359573868672378,2,1490,3.0,4.0,3.0,17.0,3.0,49,3996001,2220100,289.0,53.50268313686022,204000
144,5,7.455298485683291,2,1963,6.22455842927536,2,1728,2.0,3.0,2.0,7.0,2.0,25,3853369,2985984,49.0,55.58147551063157,125000
145,6,7.444248649496705,2,2004,5.942799375126701,2,970,3.0,4.0,3.0,5.0,2.0,36,4016016,940900,25.0,55.41683795553352,130000
146,5,6.775366090936392,1,1931,5.198497031265826,1,715,2.0,3.0,2.0,4.0,2.0,25,3728761,511225,16.0,45.90558566621068,105000
147,7,7.618742377670413,2,2001,6.075346031088684,2,884,3.0,4.0,3.0,15.0,4.0,49,4004001,781456,225.0,58.04523541731102,222500
148,7,6.985641817639208,0,2004,0.0,1,1080,2.0,4.0,3.0,13.0,1.0,49,4016016,1166400,169.0,48.799191604349616,141000
149,5,7.20414929203594,1,1936,5.484796933490655,1,896,2.0,4.0,2.0,4.0,2.0,25,3748096,802816,16.0,51.899767021941926,115000
150,5,6.877296071497429,2,1975,6.089044875446846,1,969,2.0,3.0,2.0,17.0,2.0,25,3900625,938961,289.0,47.29720125503397,122000
151,8,7.444833273892193,3,2007,6.7650389767805414,2,1710,3.0,5.0,3.0,24.0,3.0,64,4028049,2924100,576.0,55.42554247605236,372402
152,6,7.597897950521784,2,1971,6.206575926724928,2,825,2.0,3.0,2.0,14.0,3.0,36,3884841,680625,196.0,57.72805326654312,190000
153,6,7.133295954896068,2,1960,6.336825731146441,1,1602,2.0,4.0,2.0,19.0,3.0,36,3841600,2566404,361.0,50.883911180136614,235000
154,6,7.0909098220799835,1,1923,5.746203190540153,1,1200,2.0,3.0,2.0,6.0,2.0,36,3697929,1440000,36.0,50.28100210487038,125000
155,6,7.00033446027523,0,1924,0.0,1,572,2.0,3.0,2.0,5.0,1.0,36,3701776,327184,25.0,49.0046825557169,79000
156,5,6.947937068614969,2,1950,6.439350371100098,1,0,2.0,1.0,2.0,11.0,2.0,25,3802500,0,121.0,48.27382950943397,109500
157,8,7.585281078639126,3,2009,6.523562306149512,2,774,3.0,5.0,4.0,22.0,4.0,64,4036081,599076,484.0,57.536489041960735,269500
158,7,7.5745584842024805,2,2004,6.520621127558696,2,991,3.0,4.0,3.0,20.0,3.0,49,4016016,982081,400.0,57.37393623060378,254900
159,7,7.809135398120538,2,2005,6.3578422665081,2,1392,3.0,4.0,3.0,15.0,3.0,49,4020025,1937664,225.0,60.98259566617921,320000
160,6,7.117205503164344,2,1984,6.248042874508429,2,1232,2.0,4.0,2.0,21.0,2.0,36,3936256,1517824,441.0,50.65461417427282,162500
161,9,7.889459149404524,3,2003,6.588926477533519,2,1572,3.0,5.0,4.0,24.0,4.0,81,4012009,2471184,576.0,62.243565670122756,412500
162,7,7.340835554123275,2,2005,6.278521424165844,2,1541,3.0,4.0,3.0,24.0,3.0,49,4020025,2374681,576.0,53.887866632680364,220000
163,4,6.78332520060396,0,1956,0.0,1,882,2.0,3.0,2.0,6.0,1.0,16,3825936,777924,36.0,46.01350077714875,103200
164,6,7.388327859577107,1,1926,5.37989735354046,2,1149,2.0,3.0,3.0,6.0,2.0,36,3709476,1320201,36.0,54.58738856060323,152000
165,5,7.212294468500341,0,1940,0.0,2,644,2.0,3.0,2.0,5.0,1.0,25,3763600,414736,25.0,52.01719150036061,127500
166,5,7.532623618788788,1,1955,5.717027701406222,1,1617,3.0,3.0,2.0,19.0,4.0,25,3822025,2614689,361.0,56.7404185823347,190000
167,8,7.6787889981991535,3,2007,6.672032945461067,1,1582,3.0,5.0,4.0,24.0,4.0,64,4028049,2502724,576.0,58.96380047886436,325624
168,7,7.450660796211539,2,2004,6.089044875446846,2,840,3.0,4.0,3.0,15.0,4.0,49,4016016,705600,225.0,55.51234630020357,183500
169,8,7.443078374348516,2,1981,6.238324625039508,2,1686,3.0,4.0,2.0,22.0,3.0,64,3924361,2842596,484.0,55.39941568669454,228000
170,5,7.232010331664759,2,1941,6.493753839851686,1,720,2.0,3.0,2.0,6.0,2.0,25,3767481,518400,36.0,52.30197343730581,128500
171,6,7.4127640174265625,2,1960,6.270988431858299,1,1080,2.0,3.0,2.0,11.0,4.0,36,3841600,1166400,121.0,54.94907037805399,215000
172,7,7.477604243197589,2,1987,6.22455842927536,2,1064,3.0,4.0,3.0,23.0,3.0,49,3948169,1132096,529.0,55.91456521788658,239000
173,6,7.217443431696533,2,1961,6.22455842927536,1,1362,2.0,3.0,2.0,11.0,2.0,36,3845521,1855044,121.0,52.091489689739426,163000
174,6,7.409741954080923,2,1986,6.424869023905388,2,1606,2.0,4.0,2.0,22.0,4.0,36,3944196,2579236,484.0,54.90427582606698,184000
175,6,7.677400430514807,2,1950,6.3578422665081,2,1202,2.0,3.0,3.0,5.0,2.0,36,3802500,1444804,25.0,58.94247737046895,243000
176,6,7.630946580890459,2,1988,6.257667587882639,2,1151,3.0,4.0,2.0,19.0,2.0,36,3952144,1324801,361.0,58.23134572040379,211000
177,5,7.560601162768557,2,1958,6.113682179832232,2,1052,3.0,3.0,3.0,7.0,2.0,25,3833764,1106704,49.0,57.162689942457256,172500
179,5,6.876264611890766,2,1923,6.175867270105761,1,968,3.0,3.0,2.0,6.0,2.0,25,3697929,937024,36.0,47.283015012741274,100000
180,6,7.330405211844402,2,2000,6.089044875446846,2,756,3.0,4.0,3.0,20.0,2.0,36,4000000,571536,400.0,53.734840569835576,177000
181,7,7.497207223203318,1,1920,5.37989735354046,1,793,2.0,2.0,2.0,18.0,2.0,49,3686400,628849,324.0,56.208116147652,200100
182,5,7.201170883281678,1,1957,5.53338948872752,1,0,2.0,1.0,2.0,5.0,3.0,25,3829849,0,25.0,51.85686209022383,120000
183,7,7.641564441260972,2,2003,6.184148890937483,2,1362,2.0,4.0,3.0,6.0,2.0,49,4012009,1855044,36.0,58.3935071099441,200000
184,5,7.133295954896068,2,1908,6.3578422665081,1,504,2.0,2.0,2.0,4.0,2.0,25,3640464,254016,16.0,50.883911180136614,127000
185,10,8.19118600464279,3,1892,6.734591659972948,2,1107,3.0,3.0,4.0,6.0,2.0,100,3579664,1225449,36.0,67.0955281626559,475000
