,OverallQual,GrLivArea,GarageCars,YearBuilt,GarageArea,FullBath,TotalBsmtSF,ExterQual_E,BsmtQual_E,KitchenQual_E,Neighborhood_E,GarageFinish_E,GarageType_E,Foundation_E,OverallQual2,TotalBsmtSF2,Neighborhood_E2
77,5,7.1592919047975645,1,1948,5.484796933490655,1,6.511745329644728,2.0,3.0,2.0,4.0,2.0,3.0,3.0,25,42.402827238149925,16.0
78,4,7.478169694159785,0,1968,0.0,2,7.478169694159785,2.0,3.0,2.0,7.0,1.0,1.0,3.0,16,55.923021974649856,49.0
79,5,7.115582126184454,2,1910,6.089044875446846,1,6.089044875446846,2.0,3.0,2.0,6.0,2.0,3.0,6.0,25,37.0764674952055,36.0
80,6,7.669961995473577,1,1968,6.234410725718371,2,6.799055862058796,2.0,4.0,3.0,11.0,4.0,6.0,3.0,36,46.22716061539608,121.0
81,6,7.198931240688173,2,1998,6.0063531596017325,2,7.121252453244542,2.0,5.0,2.0,12.0,4.0,6.0,6.0,36,50.7122365028414,144.0
82,8,7.355001921105257,3,2007,6.63200177739563,2,7.355001921105257,2.0,4.0,3.0,20.0,3.0,6.0,6.0,64,54.09605325946202,400.0
83,5,6.97166860472579,2,1960,6.135564891081739,1,6.97166860472579,2.0,3.0,2.0,11.0,2.0,3.0,3.0,25,48.60416313411924,121.0
84,7,7.29641326877392,2,1995,5.993961427306569,2,5.953243334287785,2.0,4.0,2.0,15.0,4.0,7.0,6.0,49,35.441106197241936,225.0
85,8,7.790696031174738,2,1991,6.137727054086234,2,7.161622002939187,3.0,4.0,3.0,25.0,2.0,6.0,3.0,64,51.2888297129827,625.0
86,6,7.353081920515432,2,2005,5.993961427306569,2,6.529418838262226,3.0,4.0,3.0,15.0,4.0,7.0,6.0,36,42.63331036545363,225.0
87,6,7.110696122978827,2,2009,6.270988431858299,2,6.418364935936212,3.0,4.0,3.0,20.0,3.0,3.0,6.0,36,41.19540845085545,400.0
88,3,7.3310603052186325,0,1915,0.0,1,6.921658184151129,1.0,3.0,1.0,2.0,1.0,1.0,3.0,9,47.9093520182263,4.0
89,4,6.898714534329988,0,1994,0.0,1,6.898714534329988,2.0,4.0,2.0,17.0,1.0,1.0,6.0,16,47.592262226175826,289.0
90,4,6.947937068614969,2,1950,6.042632833682381,1,0.0,2.0,1.0,2.0,11.0,2.0,3.0,1.0,16,0.0,121.0
91,5,7.119635638017636,2,1961,6.175867270105761,1,7.119635638017636,2.0,3.0,2.0,11.0,2.0,6.0,3.0,25,50.689211618130784,121.0
92,5,6.872128101338986,2,1921,6.07073772800249,1,6.776506992372183,2.0,4.0,2.0,18.0,2.0,3.0,2.0,25,45.92104701766909,324.0
93,6,7.73718007783463,2,1910,6.2285110035911835,2,7.102499355774649,2.0,3.0,2.0,6.0,2.0,3.0,2.0,36,50.4454970987793,36.0
94,6,7.488293515159428,2,1997,6.529418838262226,2,6.715383386334681,2.0,4.0,3.0,17.0,3.0,6.0,6.0,36,45.096374025459845,289.0
95,6,7.293697720601438,2,1993,6.042632833682381,2,6.523562306149512,4.0,4.0,2.0,15.0,4.0,7.0,6.0,36,42.55686516221474,225.0
96,7,7.370860166536716,2,1999,6.159095388491933,2,7.370860166536716,3.0,4.0,3.0,17.0,3.0,6.0,6.0,49,54.32957959463767,289.0
97,4,6.8679744089702925,1,1965,6.07073772800249,1,6.8679744089702925,2.0,3.0,2.0,5.0,4.0,6.0,3.0,16,47.16907248227084,25.0
98,5,6.728628613084702,1,1920,5.905361848054571,1,6.129050210060545,2.0,3.0,2.0,5.0,2.0,5.0,2.0,25,37.565256477443214,25.0
99,4,7.111512116496157,0,1959,0.0,1,6.85751406254539,2.0,3.0,2.0,11.0,1.0,1.0,3.0,16,47.02549911800779,121.0
100,6,7.384610383176974,2,1977,6.175867270105761,2,7.384610383176974,2.0,3.0,3.0,14.0,3.0,6.0,6.0,36,54.53247051132517,196.0
101,6,7.457609289715606,2,1985,6.1675164908883415,2,6.60934924316738,3.0,4.0,3.0,13.0,4.0,6.0,3.0,36,43.68349741815722,169.0
102,5,7.336936913707618,2,1979,6.018593214496234,2,0.0,2.0,1.0,2.0,13.0,2.0,6.0,1.0,25,0.0,169.0
103,7,7.112327444710911,3,2009,6.608000625296087,2,7.112327444710911,2.0,4.0,3.0,17.0,3.0,6.0,6.0,49,50.58520168078804,289.0
104,7,7.506042178518122,1,1931,5.484796933490655,1,6.947937068614969,2.0,3.0,2.0,2.0,2.0,3.0,6.0,49,48.27382950943397,4.0
105,8,7.597396320212795,2,2003,6.47543271670409,2,6.960347729101308,3.0,5.0,3.0,20.0,3.0,6.0,6.0,64,48.446440510005736,400.0
106,4,6.954638864880987,1,1885,5.6131281063880705,1,6.464588303689961,2.0,2.0,2.0,6.0,2.0,3.0,2.0,16,41.79090193620505,36.0
107,5,6.672032945461067,1,1948,5.5254529391317835,1,6.672032945461067,2.0,3.0,2.0,6.0,2.0,3.0,3.0,25,44.516023625317885,36.0
108,5,7.325148957955575,0,1919,0.0,2,6.677083461247136,2.0,3.0,1.0,2.0,1.0,1.0,3.0,25,44.58344354846004,4.0
109,6,7.520234556474628,2,1977,6.304448802421981,2,7.520234556474628,2.0,4.0,2.0,14.0,3.0,6.0,3.0,36,56.553927784395135,196.0
110,6,7.526178913346146,1,1954,5.786897381366708,2,6.902742737158593,2.0,3.0,2.0,5.0,2.0,6.0,3.0,36,47.6478572953957,25.0
111,7,7.266128779556451,2,2000,5.993961427306569,2,5.953243334287785,2.0,4.0,2.0,15.0,4.0,7.0,6.0,49,35.441106197241936,225.0
112,7,7.89989532313973,3,2007,6.675823221634848,2,7.142827401161621,3.0,5.0,4.0,17.0,4.0,7.0,6.0,49,51.019983282785276,289.0
113,6,7.723120092266331,2,1953,6.111467339502679,2,7.501082124259871,2.0,4.0,3.0,18.0,2.0,5.0,3.0,36,56.26623303489098,324.0
114,6,7.749753406274437,1,1945,5.198497031265826,2,6.9363427358340495,2.0,3.0,3.0,18.0,2.0,3.0,3.0,36,48.11285054895779,324.0
115,6,7.285506548522785,2,1999,6.089044875446846,2,6.593044534142437,2.0,4.0,2.0,20.0,2.0,3.0,6.0,36,43.468236229185464,400.0
116,5,6.996681488176539,1,1962,5.666426688112432,1,6.996681488176539,2.0,3.0,2.0,7.0,2.0,6.0,3.0,25,48.95355184699227,49.0
117,5,7.026426808699636,2,2006,6.066108090103747,1,7.026426808699636,2.0,4.0,2.0,5.0,2.0,6.0,6.0,25,49.37067369801295,25.0
118,7,8.078067881815437,3,1990,6.38856140554563,3,7.422971251049421,2.0,4.0,3.0,13.0,2.0,6.0,6.0,49,55.1005021939062,169.0
119,6,7.284134806195205,2,2005,5.968707559985366,2,6.591673732008658,3.0,4.0,3.0,17.0,4.0,6.0,6.0,36,43.450162589252955,289.0
120,6,6.8966943316227125,2,1969,6.293419278846481,1,6.844815479208263,2.0,3.0,2.0,19.0,2.0,6.0,3.0,36,46.851498944409045,361.0
121,4,7.024649030453636,1,1939,5.579729825986222,1,6.597145701886651,2.0,3.0,2.0,2.0,2.0,3.0,6.0,16,43.52233141192152,4.0
122,6,6.985641817639208,1,1958,5.666426688112432,1,6.985641817639208,2.0,3.0,2.0,11.0,2.0,6.0,3.0,36,48.799191604349616,121.0
123,6,7.090076835776092,2,1993,6.274762021241939,2,7.090076835776092,3.0,4.0,3.0,13.0,3.0,6.0,6.0,36,50.26918953720872,169.0
124,6,7.369600720526409,2,1979,6.077642243349034,2,7.217443431696533,2.0,4.0,2.0,14.0,2.0,6.0,3.0,36,52.091489689739426,196.0
125,6,6.626717749249025,0,1935,0.0,1,6.255750041753367,2.0,3.0,2.0,2.0,1.0,1.0,3.0,36,39.13440858489725,4.0
126,6,6.8658910748834385,2,1976,6.089044875446846,2,6.983789965258135,2.0,4.0,2.0,10.0,3.0,6.0,3.0,36,48.77332227884022,100.0
127,5,6.734591659972948,0,1930,0.0,1,6.511745329644728,2.0,3.0,2.0,6.0,1.0,1.0,2.0,25,42.402827238149925,36.0
128,6,7.207118856207756,2,1966,6.118097198041348,1,6.493753839851686,2.0,3.0,2.0,11.0,3.0,6.0,3.0,36,42.168838932588514,121.0
129,5,6.960347729101308,2,1958,6.621405651764134,1,6.9167150203536085,2.0,3.0,4.0,11.0,3.0,4.0,3.0,25,47.84094667278522,121.0
130,7,7.67693714581808,2,1966,6.1903154058531475,2,6.829793737512425,2.0,3.0,3.0,11.0,4.0,6.0,3.0,49,46.646082496963935,121.0
131,6,7.628031126930335,2,2000,5.968707559985366,2,6.900730664045173,3.0,4.0,3.0,15.0,3.0,7.0,6.0,36,47.62008369769333,225.0
132,5,7.191429330036379,2,1959,6.437751649736401,1,6.96979066990159,2.0,3.0,3.0,11.0,2.0,3.0,3.0,25,48.57798198224725,121.0
133,8,7.167809184316444,2,2001,6.156978985585555,2,7.145196134997171,3.0,5.0,3.0,22.0,4.0,6.0,6.0,64,51.053827807578514,484.0
134,5,7.451241684987676,2,1968,6.089044875446846,2,7.2875606403097235,2.0,3.0,2.0,7.0,3.0,6.0,3.0,25,53.10854008619147,49.0
135,7,7.428333194190806,2,1970,6.274762021241939,2,7.173958319756794,2.0,3.0,2.0,14.0,2.0,6.0,6.0,49,51.465677973607725,196.0
136,5,7.102499355774649,1,1967,5.765191102784844,2,7.102499355774649,2.0,3.0,2.0,11.0,3.0,6.0,3.0,25,50.4454970987793,121.0
137,7,7.580699752224563,3,1988,6.642486801367256,3,7.553810852008231,2.0,3.0,2.0,12.0,2.0,4.0,3.0,49,57.06005838791732,144.0
138,8,7.52456122628536,3,1999,6.493753839851686,2,6.912742820493176,3.0,4.0,3.0,17.0,4.0,6.0,6.0,64,47.786013302279954,289.0
139,6,7.475905969367397,2,1997,6.154858094016418,2,6.834108738813838,2.0,4.0,3.0,17.0,3.0,6.0,6.0,36,46.70504225393167,289.0
140,4,6.762729506931879,0,1971,0.0,1,6.762729506931879,2.0,3.0,2.0,11.0,1.0,1.0,3.0,16,45.734510383927095,121.0
141,7,7.45876269238096,2,2005,6.493753839851686,2,7.45876269238096,3.0,4.0,3.0,17.0,4.0,6.0,6.0,49,55.633140901254066,289.0
142,5,7.234177179749849,2,1952,6.580639137284949,2,6.814542897259958,2.0,3.0,2.0,11.0,2.0,3.0,3.0,25,46.437994898596145,121.0
143,7,7.31455283232408,2,1999,6.359573868672378,2,7.307202314764738,3.0,4.0,3.0,17.0,3.0,6.0,6.0,49,53.395205668903145,289.0
144,5,7.455298485683291,2,1963,6.22455842927536,2,7.455298485683291,2.0,3.0,2.0,7.0,2.0,3.0,3.0,25,55.58147551063157,49.0
145,6,7.444248649496705,2,2004,5.942799375126701,2,6.878326468291325,3.0,4.0,3.0,5.0,2.0,3.0,6.0,36,47.311375004397014,25.0
146,5,6.775366090936392,1,1931,5.198497031265826,1,6.573680166960646,2.0,3.0,2.0,4.0,2.0,3.0,2.0,25,43.21327093749174,16.0
147,7,7.618742377670413,2,2001,6.075346031088684,2,6.785587645007929,3.0,4.0,3.0,15.0,4.0,7.0,6.0,49,46.044199688084255,225.0
148,7,6.985641817639208,0,2004,0.0,1,6.985641817639208,2.0,4.0,3.0,13.0,1.0,1.0,6.0,49,48.799191604349616,169.0
149,5,7.20414929203594,1,1936,5.484796933490655,1,6.799055862058796,2.0,4.0,2.0,4.0,2.0,3.0,2.0,25,46.22716061539608,16.0
150,5,6.877296071497429,2,1975,6.089044875446846,1,6.877296071497429,2.0,3.0,2.0,17.0,2.0,6.0,3.0,25,47.29720125503397,289.0
151,8,7.444833273892193,3,2007,6.7650389767805414,2,7.444833273892193,3.0,5.0,3.0,24.0,3.0,6.0,6.0,64,55.42554247605236,576.0
152,6,7.597897950521784,2,1971,6.206575926724928,2,6.716594773520978,2.0,3.0,2.0,14.0,3.0,6.0,3.0,36,45.112645351689316,196.0
153,6,7.133295954896068,2,1960,6.336825731146441,1,7.3796321526095525,2.0,4.0,2.0,19.0,3.0,6.0,3.0,36,54.4589707078287,361.0
154,6,7.0909098220799835,1,1923,5.746203190540153,1,7.0909098220799835,2.0,3.0,2.0,6.0,2.0,3.0,2.0,36,50.28100210487038,36.0
155,6,7.00033446027523,0,1924,0.0,1,6.35088571671474,2.0,3.0,2.0,5.0,1.0,1.0,2.0,36,40.333749386771295,25.0
156,5,6.947937068614969,2,1950,6.439350371100098,1,0.0,2.0,1.0,2.0,11.0,2.0,3.0,3.0,25,0.0,121.0
157,8,7.585281078639126,3,2009,6.523562306149512,2,6.652863029353347,3.0,5.0,4.0,22.0,4.0,7.0,6.0,64,44.260586487336596,484.0
158,7,7.5745584842024805,2,2004,6.520621127558696,2,6.899723107284872,3.0,4.0,3.0,20.0,3.0,6.0,6.0,49,47.60617895720081,400.0
159,7,7.809135398120538,2,2005,6.3578422665081,2,7.239214973779806,3.0,4.0,3.0,15.0,3.0,6.0,6.0,49,52.40623343659775,225.0
160,6,7.117205503164344,2,1984,6.248042874508429,2,7.117205503164344,2.0,4.0,2.0,21.0,2.0,6.0,6.0,36,50.65461417427282,441.0
161,9,7.889459149404524,3,2003,6.588926477533519,2,7.360739903058278,3.0,5.0,4.0,24.0,4.0,7.0,6.0,81,54.18049192047438,576.0
162,7,7.340835554123275,2,2005,6.278521424165844,2,7.340835554123275,3.0,4.0,3.0,24.0,3.0,6.0,6.0,49,53.887866632680364,576.0
163,4,6.78332520060396,0,1956,0.0,1,6.78332520060396,2.0,3.0,2.0,6.0,1.0,1.0,3.0,16,46.01350077714875,36.0
164,6,7.388327859577107,1,1926,5.37989735354046,2,7.047517221357296,2.0,3.0,3.0,6.0,2.0,3.0,2.0,36,49.66749898532766,36.0
165,5,7.212294468500341,0,1940,0.0,2,6.4692503167957724,2.0,3.0,2.0,5.0,1.0,1.0,2.0,25,41.8511996613622,25.0
166,5,7.532623618788788,1,1955,5.717027701406222,1,7.388946097618437,3.0,3.0,2.0,19.0,4.0,6.0,3.0,25,54.59652443351072,361.0
167,8,7.6787889981991535,3,2007,6.672032945461067,1,7.367077059881012,3.0,5.0,4.0,24.0,4.0,6.0,6.0,64,54.27382440622506,576.0
168,7,7.450660796211539,2,2004,6.089044875446846,2,6.734591659972948,3.0,4.0,3.0,15.0,4.0,6.0,6.0,49,45.35472482657719,225.0
169,8,7.443078374348516,2,1981,6.238324625039508,2,7.430707082545968,3.0,4.0,2.0,22.0,3.0,6.0,3.0,64,55.215407746598814,484.0
170,5,7.232010331664759,2,1941,6.493753839851686,1,6.580639137284949,2.0,3.0,2.0,6.0,2.0,3.0,3.0,25,43.3048114551664,36.0
171,6,7.4127640174265625,2,1960,6.270988431858299,1,6.985641817639208,2.0,3.0,2.0,11.0,4.0,6.0,3.0,36,48.799191604349616,121.0
172,7,7.477604243197589,2,1987,6.22455842927536,2,6.970730078143525,3.0,4.0,3.0,23.0,3.0,6.0,6.0,49,48.59107782233484,529.0
173,6,7.217443431696533,2,1961,6.22455842927536,1,7.217443431696533,2.0,3.0,2.0,11.0,2.0,6.0,3.0,36,52.091489689739426,121.0
174,6,7.409741954080923,2,1986,6.424869023905388,2,7.382124365737512,2.0,4.0,2.0,22.0,4.0,6.0,3.0,36,54.49576015121547,484.0
175,6,7.677400430514807,2,1950,6.3578422665081,2,7.0925737159746784,2.0,3.0,3.0,5.0,2.0,6.0,3.0,36,50.30460191653486,25.0
176,6,7.630946580890459,2,1988,6.257667587882639,2,7.049254841255837,3.0,4.0,2.0,19.0,2.0,6.0,6.0,36,49.69199381696885,361.0
177,5,7.560601162768557,2,1958,6.113682179832232,2,6.959398512133975,3.0,3.0,3.0,7.0,2.0,6.0,3.0,25,48.433227650692594,49.0
